amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,negative_sharpe,sharpe_ratio,sortino_ratio,max_drawdown,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_dd,composite_score
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,14.0,-17.86,35585,1.59,3,Moderate,False,0.4942725378672349,0.8625738849916581,-0.1757361416468729,28.0,24.0,19.0,35.0,24.0,37.875
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,19.0,-21.92,47469,1.56,4,High,False,0.07599984804658923,0.12469346986475674,-0.24003511326274884,7.0,30.0,2.0,33.0,33.0,56.87500000000001
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,16.0,-19.5,35012,1.45,5,Moderately High,False,1.3067439695428409,2.3643200321667184,-0.1297396816518679,11.0,2.0,3.5,22.0,13.0,79.75
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,0.5,-3.81,27623,0.6,3,Low,False,-0.08874729621557288,-0.1877230477424223,-0.0011629327956168556,37.0,34.0,14.0,3.0,2.0,44.875
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.41,0.91,14.0,-27.54,25803,1.64,4,Moderate,False,0.03078485095458594,0.05257398559304803,-0.1440161790933726,31.0,31.0,17.0,39.5,15.0,32.8125
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.43,0.87,14.0,-17.4,15866,0.75,4,Moderate,False,0.12961449795669328,0.22108683979276353,-0.21751396370148224,29.0,29.0,15.0,8.0,31.0,44.375
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.42,1.0,19.0,-32.38,28996,1.38,5,High,False,0.9982309868636413,1.7037974802463003,-0.20960883862039192,15.0,11.0,16.0,17.0,28.0,63.0
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,0.51,1.0,25.0,-14.45,21545,1.38,4,Very High,False,-0.0759735711747892,-0.12818559275851926,-0.5167775370852656,4.0,33.0,40.0,17.0,39.0,42.75
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,12.44,1.34,1.03,14.0,-15.07,23500,1.6,5,Moderate,False,1.0272133278753695,1.799562874698452,-0.11291596329323073,22.0,9.0,18.0,36.5,9.0,55.43750000000001
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.84,0.97,25.0,-23.61,41613,1.53,5,Very High,False,0.16266076928646772,0.27664379626092334,-0.3544691649336603,3.0,28.0,5.0,28.5,38.0,60.0625
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,1.18,0.43,0.5,-3.66,38995,0.79,5,Low,False,-0.8155673679088263,-1.681037866751281,-0.0016224980244717857,40.0,40.0,21.0,11.0,3.0,32.125
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,13.0,-24.42,7350,1.57,4,Moderate,False,0.8170993373494367,1.4357420130649492,-0.1085986215250232,30.0,16.0,27.0,34.0,7.0,42.00000000000001
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,19.0,-13.43,41728,1.51,5,High,False,-0.20583160785470309,-0.34722230254727265,-0.2800112356639287,12.0,36.0,24.0,24.5,35.0,41.0625
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,16.0,-12.14,17912,1.64,5,Moderately High,False,0.6195175900829828,1.0887552508030016,-0.21539827112383225,13.0,22.0,8.0,39.5,30.0,52.6875
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,14.0,-17.07,11361,1.46,5,Moderate,False,1.4482911703262598,2.3856443733688186,-0.11265729075028275,17.0,1.0,12.0,23.0,8.0,72.5
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,16.0,-33.15,49046,1.52,5,Moderately High,False,0.9262873467360144,1.632740977873516,-0.1527259422823477,19.0,15.0,10.5,26.5,19.0,58.93750000000001
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,17.0,-22.62,2989,1.6,5,High,False,1.2349300257743294,2.146913926346055,-0.1639674294693263,23.0,3.0,39.0,36.5,21.0,44.9375
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.82,0.91,14.0,-21.7,41828,1.54,5,Moderate,False,0.46403744922047774,0.7621288703723166,-0.14844576917771746,25.0,25.0,6.0,30.5,16.0,49.6875
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,19.0,-26.99,37835,1.61,4,High,False,1.1321218524747243,1.8751010639192083,-0.17248105753451382,9.0,6.0,25.0,38.0,22.0,59.75
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,25.0,-17.01,35124,1.52,4,Very High,False,0.9497958246616031,1.6197931764914093,-0.31171900300634214,6.0,13.0,36.0,26.5,37.0,52.6875
